tweet_id,favorite_count,retweet_count
816829038950027264,0,5496
816816676327063552,11071,2361
816697700272001025,10905,2545
816450570814898180,33961,9366
816336735214911488,9564,2269
816091915477250048,9927,2500
816062466425819140,0,1207
816014286006976512,0,6154
815990720817401858,5545,1207
815966073409433600,25057,9907
815745968457060357,0,4797
815736392542261248,10937,2625
815639385530101762,9161,1918
815390420867969024,11467,4407
814986499976527872,8485,1505
814638523311648768,12511,3130
814578408554463233,0,6750
814530161257443328,9629,2156
814153002265309185,32000,10080
813944609378369540,0,3732
813910438903693312,10342,2194
813812741911748608,40402,16267
813800681631023104,9300,2060
813217897535406080,20783,8476
813202720496779264,10192,2090
813187593374461952,22085,5096
813172488309972993,10384,2236
813157409116065792,8588,2557
813142292504645637,9361,2728
813130366689148928,4968,513
813127251579564032,13242,3652
813112105746448384,11515,3225
813096984823349248,11694,4207
813081950185472002,10989,3220
813066809284972545,8865,2276
813051746834595840,23337,8503
812781120811126785,8380,2191
812747805718642688,0,8067
812709060537683968,7373,1665
812503143955202048,6787,1424
812466873996607488,8900,2231
812372279581671427,15224,4252
811985624773361665,8102,1647
811744202451197953,8429,1884
811647686436880384,6215,872
811627233043480576,14265,3650
811386762094317568,23302,7444
810984652412424192,5927,1655
810896069567610880,10093,2090
810657578271330305,12192,3057
810284430598270976,39640,13369
810254108431155201,16380,3901
809920764300447744,17250,4521
809808892968534016,0,5711
809448704142938112,7727,1696
809220051211603969,22246,6554
809084759137812480,14685,4046
808838249661788160,11271,3536
808733504066486276,8784,2509
808501579447930884,12595,3007
808344865868283904,47281,24069
808134635716833280,0,6961
808106460588765185,9701,2525
808001312164028416,14015,4098
807621403335917568,16236,4288
807106840509214720,107015,56625
807059379405148160,0,8521
807010152071229440,14514,4418
806629075125202948,75639,37911
806620845233815552,0,6426
806576416489959424,5370,2230
806542213899489280,11363,2752
806242860592926720,0,13616
806219024703037440,7145,1388
805958939288408065,0,6238
